Lp;Numer;P³eæ;Rocznik;Kat wiekowa;Czas
No.;Bib;Sex;YoB;Age Group;Time
315;3581;K / 65;1980;K3 / 19;01:37:46
316;1605;M / 285;1976;M4 / 76;01:18:47
317;734;M / 386;1947;M6 / 14;01:25:53
318;3280;M / 27;1988;M2 / 6;01:00:11
319;1568;M / 461;1981;M3 / 164;01:39:00
320;737;M / 89;1984;M3 / 26;01:06:21
321;3210;M / 79;1972;M4 / 14;01:05:38
322;2855;K / 25;1987;K2 / 10;01:19:19
323;3235;M / 383;1981;M3 / 141;01:25:45
324;1786;M / 150;1974;M4 / 30;01:10:45
325;726;K / 72;1970;K4 / 10;01:42:47
326;3589;M / 403;1975;M4 / 104;01:27:18
327;2258;M / 75;1982;M3 / 22;01:05:24
328;1213;K / 7;1991;K2 / 4;01:11:25
329;407;M / 12;1980;M3 / 5;00:58:22
330;2535;K / 6;1989;K2 / 3;01:10:56
331;3076;K / 54;1999;K1 / 4;01:30:15
332;3078;M / 424;1970;M4 / 113;01:30:42
333;2782;M / 6;1988;M2 / 2;00:57:24
334;3533;M / 176;2002;M0 / 15;01:13:01
335;2991;M / 10;2000;M1 / 3;00:58:09
336;1472;M / 74;1966;M5 / 5;01:05:13
337;1307;M / 311;1973;M4 / 82;01:20:18
338;1388;M / 193;1989;M2 / 33;01:13:54
339;1752;M / 438;1974;M4 / 117;01:33:08
340;1442;M / 33;1972;M4 / 4;01:01:24
341;3543;K / 78;1976;K4 / 13;01:46:21
342;3482;M / 482;1980;M3 / 169;01:49:05
343;3382;M / 36;1975;M4 / 5;01:01:46
344;126;M / 80;1974;M4 / 15;01:05:39
345;3292;K / 64;1979;K3 / 18;01:37:35
346;533;M / 26;1982;M3 / 10;01:00:02
347;918;M / 59;1977;M3 / 17;01:03:42
348;1550;M / 15;2001;M0 / 3;00:58:46
349;1989;K / 22;1989;K2 / 9;01:18:24
350;827;M / 152;1956;M6 / 3;01:11:04
351;2687;M / 226;1986;M3 / 77;01:15:38
